Business_Name,Public Zip,votes_dem,votes_rep,pct_dem_lead,PopInsured,TotalPop,Life Exp,Median_Income_Dollars,Mean_Income_Dollars,Public Address Street,Public Address City,Full Address,Geo,ZCTA5,Places_ID,GEOID
Walgreens Pharmacy,43952,175,404,-38.6,"10,967","11,516",78.1,"$73,648.00 ","$90,323.00 ",4402 Sunset Blvd,Steubenville,"4402 Sunset Blvd, Steubenville, OH 43952, USA","40.3724573,-80.6811386",43953,ChIJn4C4oYIvNIgRNaxKru6ToAg,39081-STEUBENVILLE 6-1
Kroger Pharmacy,43952,196,206,-2.4,"16,342","17,452",73.8,"$46,591.00 ","$58,933.00 ",264 S Hollywood Blvd,Steubenville,"264 S Hollywood Blvd, Steubenville, OH 43952, USA","40.3669994,-80.6398091",43952,ChIJJW99oi8uNIgRkSPecth45Pk,39081-STEUBENVILLE 1-1
Kroger Pharmacy,43953,214,377,-27.5,"10,967","11,516",75.8,"$73,648.00 ","$90,323.00 ",858 Main St,Wintersville,"858 Main St, Wintersville, OH 43953, USA","40.3743644,-80.7035118",43953,ChIJzUKiT9wuNIgRBt6SeYRNTxI,39081-WINTERSVILLE B
Value Leader Pharmacy,43953,180,353,-32.3,"10,967","11,516",75.8,"$73,648.00 ","$90,323.00 ",201 Luray Dr B,Wintersville,"201 Luray Dr B, Wintersville, OH 43953, USA","40.38044300000001,-80.704619",43953,ChIJq_ptnCAvNIgRTuDUWJapiRQ,39081-WINTERSVILLE D
Diamond Pharmacy,43953,191,440,-38.6,"10,967","11,516",75.8,"$73,648.00 ","$90,323.00 ",503 Cadiz Rd,Wintersville,"503 Cadiz Rd, Wintersville, OH 43953, USA","40.3766465,-80.7178062",43953,ChIJqZwxodEuNIgRotm-Tu9OsKI,39081-WEST PARK
CVS Pharmacy,43952,275,361,-13.5,"16,342","17,452",77.2,"$46,591.00 ","$58,933.00 ",2217 Sunset Blvd,Steubenville,"2217 Sunset Blvd, Steubenville, OH 43952, USA","40.369841099999995,-80.6423829",43952,ChIJrfh2Si4uNIgRSSBCTXtYmr8,39081-STEUBENVILLE 5-1
A&B Sunset Pharmacy,43952,175,404,-38.6,"10,967","11,516",77.2,"$73,648.00 ","$90,323.00 ",4201 Sunset Blvd,Steubenville,"4201 Sunset Blvd, Steubenville, OH 43952, USA","40.375790099999996,-80.6785931",43953,ChIJQZ9aX_8uNIgRgL1nJyRI1es,39081-STEUBENVILLE 6-1
Walmart Pharmacy,43952,229,484,-35.5,"16,342","17,452",78.1,"$46,591.00 ","$58,933.00 ",100 Mall Dr,Steubenville,"100 Mall Dr, Steubenville, OH 43952, USA","40.3657798,-80.6696472",43952,ChIJZ0hM0FsuNIgRyspnUUutvdg,39081-STEUBENVILLE 6-2
Ross Park Pharmacy West,43952,206,364,-27.3,"16,342","17,452",73.8,"$46,591.00 ","$58,933.00 ",4100 Johnson Rd #105,Steubenville,"4100 Johnson Rd #105, Steubenville, OH 43952, USA","40.3688848,-80.65892889999999",43952,ChIJz3mZpkguNIgRqgS2pOwOA10,39081-STEUBENVILLE 5-3
Bukmir's Pharmacy,43913,144,459,-51.5,960,"1,065",71.9,"$49,100.00 ","$54,995.00 ",908 3rd St,Brilliant,"908 3rd St, Brilliant, OH 43913, USA","40.26350920000001,-80.6309177",43913,ChIJwy2uaKgyNIgR2q4cqT01uWk,39081-BRILLIANT
Toronto Apothecary,43964,233,493,-35.4,"8,772","9,061",74.6,"$53,321.00 ","$67,047.00 ",1361 Franklin St,Toronto,"1361 Franklin St, Toronto, OH 43964, USA","40.453567,-80.607261",43964,ChIJwyGLtuE6NIgR7T5Efvs03BE,39081-TORONTO 1-A
Walmart Pharmacy,45822,199,530,-44.5,"19,085","19,945",78.7,"$72,106.00 ","$82,871.00 ",1950 Havemann Rd,Celina,"1950 Havemann Rd, Celina, OH 45822, USA","40.5548235,-84.5407678",45822,ChIJscEvnpBLPogRDYqCVAU6bs4,39107-CELINA C
CVS Pharmacy,45822,224,603,-45,"19,085","19,945",78.7,"$72,106.00 ","$82,871.00 ",1020 N Main St,Celina,"1020 N Main St, Celina, OH 45822, USA","40.559975699999995,-84.5705728",45822,ChIJfdd1aE5KPogRoyQVvuljXN4,39107-CELINA A
Walmart Pharmacy,45891,39,187,-64.3,"14,826","15,270",78.8,"$62,944.00 ","$79,171.00 ",301 Towne Center Blvd,Van Wert,"301 Towne Center Blvd, Van Wert, OH 45891, USA","40.889089,-84.5787165",45891,ChIJl6INOCBrPogRgtegbb0ThUQ,39161-VAN WERT 2A
CVS Pharmacy,45891,114,365,-50.9,"14,826","15,270",76.4,"$62,944.00 ","$79,171.00 ",703 W Ervin Rd,Van Wert,"703 W Ervin Rd, Van Wert, OH 45891, USA","40.859245699999995,-84.59307969999999",45891,ChIJba8issVqPogRWXaezjMlVWA,39161-VAN WERT 3C
Genoa Healthcare,45891,114,365,-50.9,"14,826","15,270",76.4,"$62,944.00 ","$79,171.00 ",1158 Westwood Dr,Van Wert,"1158 Westwood Dr, Van Wert, OH 45891, USA","40.854449599999995,-84.5942579",45891,ChIJN6KE81NrPogRyQ-qNjrcHTo,39161-VAN WERT 3C
Kroger Pharmacy,45885,133,570,-61,"11,937","12,574",80.6,"$75,054.00 ","$80,668.00 ",475 Fortman Dr,St Marys,"475 Fortman Dr, St Marys, OH 45885, USA","40.5542514,-84.384709",45885,ChIJaUuf9rlTPogRCrBnM3ffuSY,39011-ST MARYS 1A
Limamemorial pharmacy,45804,130,302,-39.5,"12,933","14,070",74,"$42,594.00 ","$59,158.00 ",951 Commerce Pkwy,Lima,"951 Commerce Pkwy, Lima, OH 45804, USA","40.694320999999995,-84.0917855",45804,ChIJVVUFzi_uPogRPoeqzHt1ysE,39003-PERRY B (0065)
Heartlight Pharmacy Services,45801,153,276,-28.3,"18,574","20,068",72.7,"$47,442.00 ","$63,633.00 ",1331 N Cole St,Lima,"1331 N Cole St, Lima, OH 45801, USA","40.7554918,-84.1281559",45801,ChIJXaxDkZDzPogRWkQRnx4GmPg,39003-AMERICAN TWP E (0036)
Mercy Health - St. Rita's Medical Center,45801,229,168,14.8,"18,574","20,068",72.4,"$47,442.00 ","$63,633.00 ",730 W Market St,Lima,"730 W Market St, Lima, OH 45801, USA","40.7409355,-84.118479",45801,ChIJe5F0OhfyPogRvLLo64YMXM4,39003-LIMA 3-3A (0011)
Walgreens Pharmacy,45805,335,447,-14.2,"22,823","24,447",78.2,"$65,954.00 ","$81,236.00 ",701 N Cable Rd,Lima,"701 N Cable Rd, Lima, OH 45805, USA","40.749032899999996,-84.1476318",45805,ChIJVzbbFMrzPogRLqBYJKEbDoY,39003-LIMA 7-7A (0025)
Meijer Pharmacy,45805,150,350,-39.5,"10,909","11,590",72.7,"$74,387.00 ","$98,924.00 ",3298 Elida Rd,Lima,"3298 Elida Rd, Lima, OH 45805, USA","40.7713393,-84.1625073",45807,ChIJVwN88J_zPogRv3VeHEazmaY,39003-AMERICAN TWP B (0033)
Walmart Pharmacy,45895,88,361,-59.7,"17,173","17,817",76,"$72,965.00 ","$87,477.00 ",1257 Bellefontaine St,Wapakoneta,"1257 Bellefontaine St, Wapakoneta, OH 45895, USA","40.5620498,-84.17747179999999",45895,ChIJOR-mrQX8PogRJRg1Fg8yG0w,39011-WAPAKONETA 3B
Walgreens Pharmacy,45804,122,401,-53,"12,933","14,070",74,"$42,594.00 ","$59,158.00 ",2366 Harding Hwy,Lima,"2366 Harding Hwy, Lima, OH 45804, USA","40.7302065,-84.0622968",45804,ChIJUxdYd9TtPogRFjiZfmPSNY0,39003-PERRY A (0064)
"Cathleen I. Garman, RPH",45895,184,618,-53.5,"17,173","17,817",78.9,"$72,965.00 ","$87,477.00 ",1302 Defiance St,Wapakoneta,"1302 Defiance St, Wapakoneta, OH 45895, USA","40.584434900000005,-84.206408",45895,ChIJ5cNEYUf5PogRLQBqdYflCGw,39011-WAPAKONETA 1B
CVS Pharmacy,45895,88,361,-59.7,"17,173","17,817",76,"$72,965.00 ","$87,477.00 ",1101 Bellefontaine St,Wapakoneta,"1101 Bellefontaine St, Wapakoneta, OH 45895, USA","40.564763299999996,-84.1792744",45895,ChIJr4Auogb8PogRJ-F75ryksZs,39011-WAPAKONETA 3B
Walmart Pharmacy,45804,122,401,-53,"12,933","14,070",74,"$42,594.00 ","$59,158.00 ",2400 Harding Hwy,Lima,"2400 Harding Hwy, Lima, OH 45804, USA","40.7294274,-84.0602224",45804,ChIJP3jKt9TtPogRx20fYlzPYsw,39003-PERRY A (0064)
CVS Pharmacy,45806,189,518,-46,"10,298","10,789",76,"$82,160.00 ","$103,059.00 ",2620 W Breese Rd,Lima,"2620 W Breese Rd, Lima, OH 45806, USA","40.6868881,-84.1518044",45806,ChIJGY3i_fzwPogRGqyP6dUTOC4,39003-SHAWNEE TWP J
Canal Health Mart Pharmacy,45887,72,355,-64.9,"4,146","4,285",78.5,"$62,838.00 ","$74,274.00 ",102 S Broadway St,Spencerville,"102 S Broadway St, Spencerville, OH 45887, USA","40.707513,-84.354427",45887,ChIJTQjX1ddbPogRRrqfWhQmg74,39003-SPENCERVILLE B (0086)
Walmart Pharmacy,45805,335,447,-14.2,"22,823","24,447",78.2,"$65,954.00 ","$81,236.00 ",2450 Allentown Rd,Lima,"2450 Allentown Rd, Lima, OH 45805, USA","40.7525608,-84.15225989999999",45805,ChIJxSZlobbzPogR_zIQVCDVU7c,39003-LIMA 7-7A (0025)
Harness Health Pharmacy - St. Rita's,45801,229,168,14.8,"18,574","20,068",72.4,"$47,442.00 ","$63,633.00 ",730 W Market St,Lima,"730 W Market St, Lima, OH 45801, USA","40.740984499999996,-84.11861359999999",45801,ChIJaTqUqYDzPogRwqk9x7VKekM,39003-LIMA 3-3A (0011)
Sam's Club Pharmacy,45804,122,401,-53,"12,933","14,070",74,"$42,594.00 ","$59,158.00 ",1150 Greely Chapel Rd,Lima,"1150 Greely Chapel Rd, Lima, OH 45804, USA","40.7248909,-84.07383639999999",45804,ChIJYcrCFHbuPogRRtp0tQju9Qo,39003-PERRY A (0064)
Genoa Healthcare,45804,247,150,23.8,"12,933","14,070",72.6,"$42,594.00 ","$59,158.00 ",799 S Main St,Lima,"799 S Main St, Lima, OH 45804, USA","40.727412699999995,-84.10388499999999",45804,ChIJ_V8ggP_xPogReFiuXbCBm04,39003-LIMA 6-6B (0023)
HomeTown Pharmacy - Pandora,45877,154,489,-50.5,"2,354","2,385",80,"$67,153.00 ","$93,554.00 ",112 E Main St,Pandora,"112 E Main St, Pandora, OH 45877, USA","40.9479036,-83.96160979999999",45877,ChIJQZWW3pCXPogRlSHPdXtpDgc,39137-PANDORA CORP
Pharmacy Solutions,45877,154,489,-50.5,"2,354","2,385",80,"$67,153.00 ","$93,554.00 ",112 E Main St,Pandora,"112 E Main St, Pandora, OH 45877, USA","40.9479036,-83.96160979999999",45877,ChIJAQDA25CXPogR62Ih3WBj6-8,39137-PANDORA CORP
Western Ohio Health Partners,45801,234,287,-10,"18,574","20,068",69.4,"$47,442.00 ","$63,633.00 ",1550 N Main St,Lima,"1550 N Main St, Lima, OH 45801, USA","40.762645299999996,-84.10448819999999",45801,ChIJpavcLXnyPogRY4Wmlnfr9HE,39003-LIMA 1-1A (0005)
Eagle Dispensaries | Verilife,45895,135,325,-40.5,"17,173","17,817",76,"$72,965.00 ","$87,477.00 ",502 Dixie Hwy,Wapakoneta,"502 Dixie Hwy, Wapakoneta, OH 45895, USA","40.575133,-84.1832079",45895,ChIJe1dOmZL7PogR5H9tY66ZNjc,39011-WAPAKONETA 2A
Greg's Pharmacy,45877,154,489,-50.5,"2,354","2,385",80,"$67,153.00 ","$93,554.00 ",112 E Main St,Pandora,"112 E Main St, Pandora, OH 45877, USA","40.9479036,-83.96160979999999",45877,ChIJQZWW3pCXPogRmyOjXGBVNnw,39137-PANDORA CORP
Health Partners of Western Ohio,45801,199,146,15.1,"18,574","20,068",,"$47,442.00 ","$63,633.00 ",329 N West St,Lima,"329 N West St, Lima, OH 45801, USA","40.7435946,-84.1081536",45801,ChIJS7K2awDzPogRrZ02hd-H9wg,39003-LIMA 3-3B (0012)
COVID-19 Drive-Thru Testing at Walgreens,45804,122,401,-53,"12,933","14,070",74,"$42,594.00 ","$59,158.00 ",2366 Harding Hwy,Lima,"2366 Harding Hwy, Lima, OH 45804, USA","40.7302204,-84.06241399999999",45804,ChIJQxWa3KXtPogR8-EFp3nqztA,39003-PERRY A (0064)
COVID-19 Drive-Thru Testing at Walgreens,45805,335,447,-14.2,"22,823","24,447",78.2,"$65,954.00 ","$81,236.00 ",701 N Cable Rd,Lima,"701 N Cable Rd, Lima, OH 45805, USA","40.749099,-84.14754909999999",45805,ChIJETo-E8rzPogR7ns-ZqWZkdA,39003-LIMA 7-7A (0025)
Chickasaw Veterinary Center,45826,84,924,-82,382,419,83.9,"$99,583.00 ","$96,068.00 ",88 W Franklin St,Chickasaw,"88 W Franklin St, Chickasaw, OH 45826, USA","40.4368328,-84.4959126",45826,ChIJcT7cCsSzP4gR2UeoWZ54F6E,39107-MARION EAST
COVID-19 Drive-Thru Testing at Walgreens,45365,257,763,-48.7,"26,940","28,586",75.2,"$66,044.00 ","$85,021.00 ",1400 Michigan St,Sidney,"1400 Michigan St, Sidney, OH 45365, USA","40.2882208,-84.1765485",45365,ChIJZSjnLPMPP4gRYzHw_5gKIxQ,39149-SIDNEY 3-B (09)
Walmart Pharmacy,43326,174,681,-58.7,"10,785","12,418",74.5,"$54,325.00 ","$72,893.00 ",1241 E Columbus St,Kenton,"1241 E Columbus St, Kenton, OH 43326, USA","40.657132700000005,-83.58370169999999",43326,ChIJtf-NpdMyOYgRvEVznUfSZ-4,39065-PLEASANT
Lane Drug Company 02363,43326,94,354,-56.5,"10,785","12,418",72.4,"$54,325.00 ","$72,893.00 ",130 S Detroit St,Kenton,"130 S Detroit St, Kenton, OH 43326, USA","40.6462925,-83.60948669999999",43326,ChIJW1TIGTzNPogR7Yzp1Cb0LUI,39065-KENTON 4
CVS Pharmacy,43326,285,713,-42,"10,785","12,418",74.5,"$54,325.00 ","$72,893.00 ",987 E Columbus St,Kenton,"987 E Columbus St, Kenton, OH 43326, USA","40.6532781,-83.5918587",43326,ChIJ5Q4fNdMyOYgRIIBQrh6wfto,39065-KENTON 2
Arlington Pharmacy,45814,117,584,-65.5,"2,504","2,533",79.3,"$86,477.00 ","$97,170.00 ",106 N Main St,Arlington,"106 N Main St, Arlington, OH 45814, USA","40.893712,-83.6513499",45814,ChIJYXN-i7mzPogRWzMZ3KwdrX4,39063-MADISON W
ONU Healthwise Pharmacy,45810,322,471,-18.5,"7,064","7,345",,"$59,065.00 ","$78,303.00 ",511 W Lincoln Ave,Ada,"511 W Lincoln Ave, Ada, OH 45810, USA","40.768506599999995,-83.82878559999999",45810,ChIJNQYI1T3HPogR93yN5PnSyKI,39065-ADA SOUTH
Mary Rutan Retail Pharmacy,43311,142,305,-35.4,"18,927","19,915",75.9,"$64,217.00 ","$80,093.00 ",1134 N Main St 1st Floor,Bellefontaine,"1134 N Main St 1st Floor, Bellefontaine, OH 43311, USA","40.3780715,-83.7541914",43311,ChIJ5ykOuoovP4gRzcoC3UVWymI,39091-BELLEFONTAINE 3-A
CVS Pharmacy,45817,211,399,-30.2,"5,460","5,683",82.2,"$82,784.00 ","$92,460.00 ",126 N Main St,Bluffton,"126 N Main St, Bluffton, OH 45817, USA","40.8939798,-83.8909354",45817,ChIJC8z3Q8u9PogRJM3J2pmSLss,39003-BLUFFTON VLG C (0070)
Community Markets Bellefontaine Pharmacy,43311,282,716,-42.8,"18,927","19,915",75.8,"$64,217.00 ","$80,093.00 ",878 E Sandusky Ave St,Bellefontaine,"878 E Sandusky Ave St, Bellefontaine, OH 43311, USA","40.364656,-83.7381766",43311,ChIJl3LzMj4vP4gRBTR75G9idEE,39091-BELLEFONTAINE 2-B
Forest Pharmacy,45843,220,692,-50.5,"3,650","3,908",77.7,"$68,438.00 ","$74,840.00 ",112 E Lima St,Forest,"112 E Lima St, Forest, OH 45843, USA","40.8018955,-83.5114863",45843,ChIJm31HxRtLOYgRxCEzUtAEosA,39065-FOREST/JACKSON
Prescription Bliss,43311,142,305,-35.4,"18,927","19,915",75.9,"$64,217.00 ","$80,093.00 ",111 W Columbus Ave,Bellefontaine,"111 W Columbus Ave, Bellefontaine, OH 43311, USA","40.3609855,-83.7603601",43311,ChIJg4jrb-zXOIgRQI6ra7umFWU,39091-BELLEFONTAINE 3-A
Kenton Community Health Center,43326,94,354,-56.5,"10,785","12,418",72.4,"$54,325.00 ","$72,893.00 ",111 W Espy St,Kenton,"111 W Espy St, Kenton, OH 43326, USA","40.6412298,-83.60825690000001",43326,ChIJ7-SnnCTNPogR821ZFVzpB5A,39065-KENTON 4
COVID-19 Drive-Thru Testing at Walgreens,43311,142,305,-35.4,"18,927","19,915",75.9,"$64,217.00 ","$80,093.00 ",101 E Sandusky Ave,Bellefontaine,"101 E Sandusky Ave, Bellefontaine, OH 43311, USA","40.3629697,-83.7590281",43311,ChIJFbpE5WAvP4gRaoC4QepDNKQ,39091-BELLEFONTAINE 3-A
WPAFB Pharmacy,45433,264,194,14.6,"1,092","1,124",,"$79,205.00 ","$93,217.00 ",2399 Oak St,Wright-Patterson AFB,"2399 Oak St, Wright-Patterson AFB, OH 45433, USA","39.8095947,-84.0293422",45433,ChIJicaybFGdQIgRLIAIzLHbQLI,39057-BATH TWP 275
Kroger Pharmacy,43302,222,338,-20.4,"46,592","49,352",80.2,"$53,833.00 ","$74,937.00 ",1428 Marion-Waldo Rd,Marion,"1428 Marion-Waldo Rd, Marion, OH 43302, USA","40.5630411,-83.1172309",43302,ChIJv91PnvcaOYgR6o7uHzYcSx4,39101-MARION TWP F
Meijer Pharmacy,43302,238,659,-46.4,"46,592","49,352",77.8,"$53,833.00 ","$74,937.00 ",2153 Marion-Mt Gilead Rd,Marion,"2153 Marion-Mt Gilead Rd, Marion, OH 43302, USA","40.5788313,-83.07127299999999",43302,ChIJ6cCu2lEFOYgR5wfDwe8vE14,39101-CLARIDON TWP B
Palmetto Long Term Care Pharm,44820,116,362,-50.8,"15,944","17,006",71.9,"$56,942.00 ","$74,127.00 ",2458 Stetzer Rd,Bucyrus,"2458 Stetzer Rd, Bucyrus, OH 44820, USA","40.8162508,-82.9399301",44820,ChIJJW9X6tB1OYgR_Sai8Uqiy1c,39033-BUCYRUS 1A
Good Neighbor Pharmacy,43351,139,303,-36.5,"10,041","10,320",74,"$71,748.00 ","$84,784.00 ",,Upper Sandusky,"Upper Sandusky, OH 43351, USA","40.828732099999996,-83.28156489999999",43351,ChIJkRgES5dBOYgRhgAsrjAXX54,39175-UPPER SANDUSKY CITY C
Walmart Pharmacy,43302,181,311,-25.8,"46,592","49,352",76,"$53,833.00 ","$74,937.00 ",1546 Marion-Mt Gilead Rd,Marion,"1546 Marion-Mt Gilead Rd, Marion, OH 43302, USA","40.5838422,-83.0883102",43302,ChIJA0j9Qa4aOYgR6OtbidV0zZY,39101-MARION TWP A
Kroger Pharmacy,43302,181,311,-25.8,"46,592","49,352",76,"$53,833.00 ","$74,937.00 ",1608 Marion-Mt Gilead Rd,Marion,"1608 Marion-Mt Gilead Rd, Marion, OH 43302, USA","40.5833127,-83.08628619999999",43302,ChIJnWhA5a4aOYgRzDSCerLOS_Q,39101-MARION TWP A
Kroger Pharmacy,44820,187,388,-34.4,"15,944","17,006",75.1,"$56,942.00 ","$74,127.00 ",210 E Mary St,Bucyrus,"210 E Mary St, Bucyrus, OH 44820, USA","40.8113491,-82.9732374",44820,ChIJvw9BZRZ0OYgR-23ROFLSVNM,39033-BUCYRUS 4B
Walgreens Pharmacy,43302,127,222,-25.7,"46,592","49,352",77.8,"$53,833.00 ","$74,937.00 ",1321 Delaware Ave,Marion,"1321 Delaware Ave, Marion, OH 43302, USA","40.5649541,-83.1210163",43302,ChIJK5naMPYaOYgRHGS-EzSoZWE,39101-MARION 4-F
Marion Prescription,43302,231,362,-21.5,"46,592","49,352",73,"$53,833.00 ","$74,937.00 ",544 E Center St,Marion,"544 E Center St, Marion, OH 43302, USA","40.5893272,-83.1169172",43302,ChIJs7Z2QXkaOYgRgzmszZRr84g,39101-MARION 5-E
CVS Pharmacy,43302,181,311,-25.8,"46,592","49,352",76,"$53,833.00 ","$74,937.00 ",137 McMahan Blvd,Marion,"137 McMahan Blvd, Marion, OH 43302, USA","40.5818863,-83.0833631",43302,ChIJF9CWyK0aOYgRMyt5Dp5vf9E,39101-MARION TWP A
Rx,43015,360,449,-10.6,"54,684","58,425",76.7,"$99,622.00 ","$124,802.00 ",,Delaware,"Delaware, OH 43015, USA","40.312394499999996,-83.1101666",43015,ChIJIbruXOPkOIgRtgg6xNRoB-Y,39041-DELAWARE CITY 1-A
Prospect Pharmacy,43342,138,424,-49.5,"3,441","3,566",81.3,"$71,667.00 ","$108,751.00 ",171 S Main St,Prospect,"171 S Main St, Prospect, OH 43342, USA","40.4492364,-83.1895151",43342,ChIJt2hlJjweOYgRHKeK-ZW0i9A,39101-PROSPECT VLG
Walmart Pharmacy,43351,109,420,-57.8,"10,041","10,320",85.5,"$71,748.00 ","$84,784.00 ",1855 E Wyandot Ave,Upper Sandusky,"1855 E Wyandot Ave, Upper Sandusky, OH 43351, USA","40.8346282,-83.2320307",43351,ChIJfWVf0AVqOYgRLs13-R4QgFY,39175-CRANE TWP
CVS Pharmacy,43302,127,222,-25.7,"46,592","49,352",74.1,"$53,833.00 ","$74,937.00 ",535 Delaware Ave,Marion,"535 Delaware Ave, Marion, OH 43302, USA","40.5797685,-83.1272867",43302,ChIJXYP1gGMaOYgRxoQBVwe-MYQ,39101-MARION 4-F
Walgreens Pharmacy at Smith Clinic,43302,153,192,-11.2,"46,592","49,352",77.8,"$53,833.00 ","$74,937.00 ",1040 Delaware Ave,Marion,"1040 Delaware Ave, Marion, OH 43302, USA","40.570274399999995,-83.1204989",43302,ChIJEerJ7l8aOYgRVk345DAC-Xo,39101-MARION 6-H
Koehler Pharmacy,43351,140,383,-45.8,"10,041","10,320",77.4,"$71,748.00 ","$84,784.00 ",425 W Church St,Upper Sandusky,"425 W Church St, Upper Sandusky, OH 43351, USA","40.8354928,-83.28719509999999",43351,ChIJNczZN5dBOYgR7_ZpT65gNR4,39175-UPPER SANDUSKY CITY A
Richwood Pharmacy,43344,129,349,-45.4,"5,741","6,049",76.3,"$80,087.00 ","$93,522.00 ",24 W Ottawa St,Richwood,"24 W Ottawa St, Richwood, OH 43344, USA","40.42659,-83.297699",43344,ChIJ0RNHv3bfOIgRHLlZBMwHSR4,39159-RICHWOOD 1
CVS Pharmacy,43015,455,596,-13.3,"54,684","58,425",78.9,"$99,622.00 ","$124,802.00 ",1725 W Central Ave,Delaware,"1725 W Central Ave, Delaware, OH 43015, USA","40.3085934,-83.1089425",43015,ChIJMRhOieLkOIgRxwW8IbJxJs8,39041-DELAWARE CITY 2-A
CVS Pharmacy,43015,180,99,28.3,"54,684","58,425",74.2,"$99,622.00 ","$124,802.00 ",190 S Sandusky St,Delaware,"190 S Sandusky St, Delaware, OH 43015, USA","40.292459799999996,-83.068981",43015,ChIJuRGAd8_6OIgRZifW5lrAnb4,39041-DELAWARE CITY 2-E
The Medicine Shoppe Pharmacy,44820,134,419,-50.4,"15,944","17,006",75.1,"$56,942.00 ","$74,127.00 ",345 N Sandusky Ave,Bucyrus,"345 N Sandusky Ave, Bucyrus, OH 44820, USA","40.8118237,-82.9760874",44820,ChIJ2zTvuxZ0OYgRqMP-vn5YTR4,39033-BUCYRUS 4A
Walmart Pharmacy,44820,116,362,-50.8,"15,944","17,006",71.9,"$56,942.00 ","$74,127.00 ",1875 E Mansfield St,Bucyrus,"1875 E Mansfield St, Bucyrus, OH 44820, USA","40.8104854,-82.9458537",44820,ChIJb24zSMx1OYgRY2-lvV2btKI,39033-BUCYRUS 1A
Harry's Pharmacy,43316,162,398,-41.8,"5,854","6,095",81.5,"$76,813.00 ","$83,425.00 ",930 Sheriden Dr,Carey,"930 Sheriden Dr, Carey, OH 43316, USA","40.9433848,-83.3999887",43316,ChIJ_y6d5uBaOYgRM8-XBYJJK3c,39175-CAREY B
Walmart Pharmacy,43015,394,390,0.5,"54,684","58,425",77.9,"$99,622.00 ","$124,802.00 ",1760 Columbus Pike,Delaware,"1760 Columbus Pike, Delaware, OH 43015, USA","40.265686599999995,-83.0735517",43015,ChIJ3Zjr7Kn6OIgRLSuccU6d2ww,39041-DELAWARE CITY 3-E
"Sarah E. Massie, MSW",43302,159,245,-20.7,"46,592","49,352",74.1,"$53,833.00 ","$74,937.00 ",332 S Main St,Marion,"332 S Main St, Marion, OH 43302, USA","40.5841081,-83.12783139999999",43302,ChIJjSq7c3saOYgRuUh8ose82ig,39101-MARION 5-C
CVS Pharmacy,44820,187,388,-34.4,"15,944","17,006",75.1,"$56,942.00 ","$74,127.00 ",101 E Charles St,Bucyrus,"101 E Charles St, Bucyrus, OH 44820, USA","40.8049999,-82.9749374",44820,ChIJc9LAL2t0OYgRQiuncv-qdg8,39033-BUCYRUS 4B
Ohiohealth Physician Group Map Internal Medicine,43302,153,192,-11.2,"46,592","49,352",77.8,"$53,833.00 ","$74,937.00 ",1040 Delaware Ave,Marion,"1040 Delaware Ave, Marion, OH 43302, USA","40.570274399999995,-83.1204989",43302,ChIJVVVVEvUaOYgROpRPbHZke-Q,39101-MARION 6-H
Fillmore Pharmacy,44882,180,577,-51.7,"2,043","2,140",80.2,"$76,843.00 ","$91,268.00 ",119 S Sycamore Ave,Sycamore,"119 S Sycamore Ave, Sycamore, OH 44882, USA","40.9490698,-83.17012489999999",44882,ChIJ7-mX9HlmOYgRUE7hIPnk0-Y,39175-SYCAMORE TWP
Genoa Healthcare,44820,116,362,-50.8,"15,944","17,006",71.9,"$56,942.00 ","$74,127.00 ",2458 Stetzer Rd Room 193,Bucyrus,"2458 Stetzer Rd Room 193, Bucyrus, OH 44820, USA","40.8161084,-82.93984789999999",44820,ChIJB2PGdKx1OYgRFlGnouPYeOs,39033-BUCYRUS 1A
Walgreens Pharmacy,45840,227,687,-49.8,"50,875","53,636",81,"$64,076.00 ","$91,378.00 ",15031 US-224,Findlay,"15031 US-224, Findlay, OH 45840, USA","41.055272599999995,-83.5920739",45840,ChIJv13iPZCrPogRv0KIWDW8ZAE,39063-MARION N
The Little Clinic,43015,360,449,-10.6,"54,684","58,425",76.7,"$99,622.00 ","$124,802.00 ",801 N Houk Rd,Delaware,"801 N Houk Rd, Delaware, OH 43015, USA","40.3127904,-83.11025819999999",43015,ChIJfTjIW-PkOIgR3TGxHVi6qno,39041-DELAWARE CITY 1-A
Dahms-Peters Jennifer L,43316,162,398,-41.8,"5,854","6,095",81.5,"$76,813.00 ","$83,425.00 ",101 E Findlay St,Carey,"101 E Findlay St, Carey, OH 43316, USA","40.952394,-83.38260199999999",43316,ChIJ_y6d5uBaOYgRtfLeWrsKWso,39175-CAREY B
COVID-19 Drive-Thru Testing at Walgreens,43015,302,358,-8.2,"54,684","58,425",74.2,"$99,622.00 ","$124,802.00 ",19 London Rd,Delaware,"19 London Rd, Delaware, OH 43015, USA","40.289826999999995,-83.0694423",43015,ChIJ__8_tMj6OIgRKkfpSQeLa_c,39041-DELAWARE CITY 3-B
COVID-19 Drive-Thru Testing at Walgreens,43302,127,222,-25.7,"46,592","49,352",77.8,"$53,833.00 ","$74,937.00 ",1321 Delaware Ave,Marion,"1321 Delaware Ave, Marion, OH 43302, USA","40.565013,-83.1210856",43302,ChIJq6rqMPYaOYgRAKr9KlNiyLI,39101-MARION 4-F
